rate,first_name
150,秀
149,娟
148,英
147,华
146,慧
145,巧
144,美
143,娜
142,静
141,淑
140,惠
139,珠
138,翠
137,雅
136,芝
135,玉
134,萍
133,红
132,娥
131,玲
130,芬
129,芳
128,燕
127,彩
126,春
125,菊
124,兰
123,凤
122,洁
121,梅
120,琳
119,素
118,云
117,莲
116,真
115,环
114,雪
113,荣
112,爱
111,妹
110,霞
109,香
108,月
107,莺
106,媛
105,艳
104,瑞
103,凡
102,佳
101,嘉
100,琼
99,勤
98,珍
97,贞
96,莉
95,桂
94,娣
93,叶
92,璧
91,璐
90,娅
89,琦
88,晶
87,妍
86,茜
85,秋
84,珊
83,莎
82,锦
81,黛
80,青
79,倩
78,婷
77,姣
76,婉
75,娴
74,瑾
73,颖
72,露
71,瑶
70,怡
69,婵
68,雁
67,蓓
66,纨
65,仪
64,荷
63,丹
62,蓉
61,眉
60,君
59,琴
58,蕊
57,薇
56,菁
55,梦
54,岚
53,苑
52,婕
51,馨
50,瑗
49,琰
48,韵
47,融
46,园
45,艺
44,咏
43,卿
42,聪
41,澜
40,纯
39,毓
38,悦
37,昭
36,冰
35,爽
34,琬
33,茗
32,羽
31,希
30,宁
29,欣
28,飘
27,育
26,滢
25,馥
24,筠
23,柔
22,竹
21,霭
20,凝
19,晓
18,欢
17,霄
16,枫
15,芸
14,菲
13,寒
12,伊
11,亚
10,宜
9,可
8,姬
7,舒
6,影
5,荔
4,枝
3,思
2,丽
1,惠
