BankName,BinCard,CardType,CardLen,Describe
中国银行,621660,银行卡,19,联名卡
中国银行,621661,银行卡,19,个人普卡
中国银行,621663,银行卡,19,员工普卡
中国银行,621667,银行卡,19,理财普卡
中国银行,621668,银行卡,19,理财金卡
中国银行,621666,银行卡,19,理财白金卡
中国银行,456351,银行卡,19,长城电子借记卡
中国银行,601382,银行卡,19,长城电子借记卡
中国银行,621256,银行卡,19,一卡双账户普卡
中国银行,621212,银行卡,19,财互通卡
中国银行,621283,银行卡,19,中职学生资助卡
中国银行,620061,银行卡,19,银联标准卡
中国银行,621725,银行卡,19,金融IC卡
中国银行,621330,银行卡,19,社保联名卡
中国银行,621331,银行卡,19,社保联名卡
中国银行,621332,银行卡,19,医保联名卡
中国银行,621333,银行卡,19,医保联名卡
中国银行,621297,银行卡,19,公司借记卡
中国银行,621568,银行卡,19,长城福农借记卡金卡
中国银行,621569,银行卡,19,长城福农借记卡普卡
中国银行,623208,银行卡,19,中国旅游卡
中国银行,621620,银行卡,19,武警军人保障卡
中国银行,621756,银行卡,19,社保联名借记IC卡
中国银行,621757,银行卡,19,社保联名借记IC卡
中国银行,621758,银行卡,19,医保联名借记IC卡
中国银行,621759,银行卡,19,医保联名借记IC卡
中国银行,621785,银行卡,19,借记IC个人普卡
中国银行,621786,银行卡,19,借记IC个人金卡
中国银行,621787,银行卡,19,借记IC个人普卡
中国银行,621788,银行卡,19,借记IC白金卡
中国银行,621789,银行卡,19,借记IC钻石卡
中国银行,621790,银行卡,19,借记IC联名卡
中国银行,621672,银行卡,19,普通高中学生资助卡
中国银行,621669,银行卡,19,理财银卡
中国银行,621662,银行卡,19,个人金卡
中国银行,623571,银行卡,19,长城代发薪借记IC卡（钻石卡）
中国银行,623572,银行卡,19,长城代发薪借记IC卡（白金卡）
中国银行,623575,银行卡,19,长城代发薪借记IC卡（普卡）
中国银行,623263,银行卡,19,中银单位结算卡
中国银行,623184,银行卡,19,银联保障类借记IC卡（金卡）
中国银行,623569,银行卡,19,银联保障类借记IC卡（白金卡）
中国银行,623586,银行卡,19,银联多币借记IC卡（钻石卡）
中国银行,623573,银行卡,19,长城代发薪借记IC卡（金卡）
中国银行,621665,银行卡,19,员工金卡
中国银行,627025,银行卡,19,
中国银行,627026,银行卡,19,
中国银行,627027,银行卡,19,
中国银行,627028,银行卡,19,
中国银行,356833,信用卡,16,中银JCB卡金卡
中国银行,356835,信用卡,16,中银JCB卡普卡
中国银行,409665,信用卡,16,员工普卡
中国银行,409666,信用卡,16,个人普卡
中国银行,409668,信用卡,16,中银威士信用卡员
中国银行,409669,信用卡,16,中银威士信用卡员
中国银行,409670,信用卡,16,个人白金卡
中国银行,409671,信用卡,16,中银威士信用卡
中国银行,409672,信用卡,16,长城公务卡
中国银行,512315,信用卡,16,中银万事达信用卡
中国银行,512316,信用卡,16,中银万事达信用卡
中国银行,512411,信用卡,16,中银万事达信用卡
中国银行,512412,信用卡,16,中银万事达信用卡
中国银行,514957,信用卡,16,中银万事达信用卡
中国银行,409667,信用卡,16,中银威士信用卡员
中国银行,438088,信用卡,16,中银奥运信用卡
中国银行,552742,信用卡,16,长城公务卡
中国银行,553131,信用卡,16,长城公务卡
中国银行,514958,信用卡,16,中银万事达信用卡
中国银行,622760,信用卡,16,银联单币C
中国银行,628388,信用卡,16,银联标准公务卡
中国银行,518377,信用卡,16,中银女性主题信用卡
中国银行,622788,信用卡,16,白金卡
中国银行,628313,信用卡,16,长城银联公务IC卡白金卡
中国银行,628312,信用卡,16,长城银联公务IC卡金卡
中国银行,62844802,信用卡,16,财政公务公司清偿IC卡
中国银行,622479,信用卡,16,熊猫卡
中国银行,622480,信用卡,16,财富卡
中国银行,622380,信用卡,16,中银全币种银联尊贵卡
中国银行,626200,信用卡,16,
中国银行,622789,信用卡,16,BOCCUPPLATINUMCARD
中国银行,625140,信用卡,16,长城信用卡环球通
中国银行,622346,信用卡,16,人民币信用卡金卡
中国银行,622347,信用卡,16,信用卡普通卡
中国银行,622790,信用卡,16,Great Wall Platinum
中国银行,6227890,信用卡,16,GREAT WALL PLATINUM
中国银行,6227891,信用卡,16,GREAT WALL PLATINUM
中国银行,6227892,信用卡,16,GREAT WALL PLATINUM
中国银行,6227893,信用卡,16,GREAT WALL PLATINUM
中国银行,6227894,信用卡,16,GREAT WALL PLATINUM
中国银行,6227895,信用卡,16,GREAT WALL PLATINUM
